"MOVESRunID","iterationID","yearID","monthID","dayID","hourID","stateID","countyID","zoneID","linkID","sourceTypeID","regClassID","fuelTypeID","fuelSubTypeID","modelYearID","roadTypeID","SCC","engTechID","sectorID","hpID","activityTypeID","activity","activityMean","activitySigma"
"1","1","2018","7","5","19","48","48015",\N,\N,"31",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","700899",\N,\N
"1","1","2018","7","5","19","48","48015",\N,\N,"21",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","884356",\N,\N
"1","1","2018","7","5","19","48","48015",\N,\N,"11",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","128117",\N,\N
"1","1","2018","7","5","18","48","48015",\N,\N,"52",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","154934",\N,\N
"1","1","2018","7","5","18","48","48015",\N,\N,"42",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","10902.6",\N,\N
"1","1","2018","7","5","18","48","48015",\N,\N,"32",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","993636",\N,\N
"1","1","2018","7","5","18","48","48015",\N,\N,"31",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","907815",\N,\N
"1","1","2018","7","5","18","48","48015",\N,\N,"21",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1145430",\N,\N
"1","1","2018","7","5","18","48","48015",\N,\N,"11",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","165939",\N,\N
"1","1","2018","7","5","17","48","48015",\N,\N,"52",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","154016",\N,\N
"1","1","2018","7","5","17","48","48015",\N,\N,"42",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","10838",\N,\N
"1","1","2018","7","5","17","48","48015",\N,\N,"32",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","987746",\N,\N
"1","1","2018","7","5","17","48","48015",\N,\N,"31",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","902436",\N,\N
"1","1","2018","7","5","17","48","48015",\N,\N,"21",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","1138640",\N,\N
"1","1","2018","7","5","17","48","48015",\N,\N,"11",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","164956",\N,\N
"1","1","2018","7","5","16","48","48015",\N,\N,"52",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","142076",\N,\N
"1","1","2018","7","5","16","48","48015",\N,\N,"42",\N,\N,\N,\N,\N,\N,\N,\N,\N,"1","9997.81",\N,\N
