"MOVESRunID","iterationID","yearID","monthID","dayID","hourID","stateID","countyID","zoneID","linkID","pollutantID","processID","sourceTypeID","regClassID","fuelTypeID","fuelSubTypeID","modelYearID","roadTypeID","SCC","engTechID","sectorID","hpID","emissionQuant","emissionQuantMean","emissionQuantSigma"
"1","1","2018","7","5","24","48","48015",\N,\N,"177",\N,"52",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.0288659",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"177",\N,"42",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00231542",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"177",\N,"32",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.222605",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"177",\N,"31",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.14376",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"177",\N,"21",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.149051",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"177",\N,"11",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.0736974",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"176",\N,"52",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00236621",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"176",\N,"42",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00036427",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"176",\N,"32",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00234453",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"176",\N,"31",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.000924723",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"176",\N,"21",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.0000519713",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"176",\N,"11",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"175",\N,"52",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.0288659",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"175",\N,"42",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.00231542",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"175",\N,"32",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.222605",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"175",\N,"31",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.14376",\N,\N
"1","1","2018","7","5","24","48","48015",\N,\N,"175",\N,"21",\N,\N,\N,\N,\N,\N,\N,\N,\N,"0.149051",\N,\N
